City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Ribeira Grande,PT,1/22/22 22:52,38.5167,-28.7,59.32,62,53,10.45
1,Ushuaia,AR,1/22/22 22:50,-54.8,-68.3,47.86,81,75,18.41
2,Faanui,PF,1/22/22 22:52,-16.4833,-151.75,81.3,76,100,16.33
3,Jamestown,US,1/22/22 22:52,42.097,-79.2353,24.39,36,100,13
4,Omboue,GA,1/22/22 22:52,-1.5746,9.2618,77.13,90,99,8.9
5,Forestville,US,1/22/22 22:52,38.8451,-76.875,29.98,36,0,0
6,Atuona,PF,1/22/22 22:52,-9.8,-139.0333,79.03,72,52,19.33
7,Jiuquan,CN,1/22/22 22:52,39.7432,98.5174,21.2,55,1,3.53
8,Qaanaaq,GL,1/22/22 22:52,77.484,-69.3632,-10.75,84,100,8.5
9,Tautira,PF,1/22/22 22:52,-17.7333,-149.15,75.22,77,100,21.05
10,Mastic Beach,US,1/22/22 22:52,40.7668,-72.8521,28.6,74,0,1.99
11,Batouri,CM,1/22/22 22:52,4.4333,14.3667,72.73,29,44,1.41
12,Hithadhoo,MV,1/22/22 22:52,-0.6,73.0833,82.56,68,52,16.91
13,Rikitea,PF,1/22/22 22:52,-23.1203,-134.9692,78.8,74,100,10.49
14,Nyurba,RU,1/22/22 22:52,63.2842,118.3319,-11.45,98,50,6.29
15,Tamandare,BR,1/22/22 22:52,-8.7597,-35.1047,79.95,75,35,8.08
16,Iralaya,HN,1/22/22 22:52,15,-83.2333,78.42,80,1,7.18
17,Upernavik,GL,1/22/22 22:52,72.7868,-56.1549,-10.25,65,87,7.31
18,Hermanus,ZA,1/22/22 22:52,-34.4187,19.2345,77.81,68,60,7.52
19,Booue,GA,1/22/22 22:52,-0.0921,11.9385,77.14,73,93,1.72
20,Tateyama,JP,1/22/22 22:52,34.9833,139.8667,40.1,61,86,8.57
21,Jiwani,PK,1/22/22 22:52,25.05,61.7417,59.2,35,0,12.48
22,Butaritari,KI,1/22/22 22:52,3.0707,172.7902,82.83,71,92,12.62
23,Alyangula,AU,1/22/22 22:52,-13.8483,136.4192,78.67,100,100,4.61
24,Salalah,OM,1/22/22 22:52,17.0151,54.0924,62.58,15,38,15.95
25,Punta Arenas,CL,1/22/22 22:47,-53.15,-70.9167,53.71,66,75,11.5
26,Poum,NC,1/22/22 22:52,-20.2333,164.0167,80.17,80,66,13.51
27,Hualmay,PE,1/22/22 22:52,-11.0964,-77.6139,73.29,80,41,8.05
